id,set,score,text
1,1,1,some additional information that we would need to replicate the experiment is how much vinegar should be placed in each identical container how or what tool to use to measure the mass of the four different samples and how much distilled water to use to rinse the four samples after taking them out of the vinegar
2,1,1,after reading the expirement i realized that the additional information you need to replicate the expireiment is one the amant of vinegar you poured in each container two label the containers before you start yar expirement and three write a conclusion to make sure yar results are accurate
3,1,1,what you need is more trials a control set up and an exact amount of vinegar to pour in each cup beaker you could also take and check the mass every 30 min or 1 hour
4,1,0,the student should list what rock is better and what rock is the worse in the procedure
5,1,2,for the students to be able to make a replicate they would need to tell use how much vinegar is used and what tipe of materials is needed for the expirement
6,1,1,i would need the information of why you would let the different samples dry out of the containers and what are they drying into
7,1,1,the information i would need in order to sucessfully replicate the experiment is the correct measurement they used for the experiment also the materials that was used to creat the experiament after the 24 hours of removing the samples from the container and rinsen each sample with distilled water making it dry for 30 mintued might not be long enough to really determine the mass of each sample especially when you have more than one different samples to do with different texture
8,1,3,you would need many more pieces of information to replicate the experiment you would need the type of samples to begin with in the procedure you would also need to know the amount of vinegar used in each container you would also need to know exactly how to mass the samples and what types of container to use plastic for example might alter the results
9,1,3,some additional information you will need are the material you also need to know the size of the contaneir to measure how the acid rain effected it you need to know how much vineager is used for each sample another thing that would help is to know how big the sample stones are by measureing the best possible way
10,1,2,inorder to replicate the experiment we will need to add information such as sticlenx statement of what the four samples are and how many pieces you will need as well as the amount of vinegar bring poured into the containers and the instruments you will need to retrieve when determining mass however revisions of sentences and renuminering will be required
11,1,0,an additional information that i would need in order to replicate the experiment
12,1,3,the additional infomation you would need to replicate the experiment would include the size of the samples also you would need to know the kind of vinegar in a ddition it is crucial to get the same type and size containers
13,1,2,there are two pieces of additional information neccisary to replicate the experiment fipst of all the procedure does not officialy specify what the four samples are also the procedure does not specify how much vinigar to pour for each container a good procedure would have specified this
14,1,2,in order the replicate the experiment you need
15,1,0,well what i understand about this procedure is that you take four samples put them in different containers that look the same put vinegar on every sample finally rinse them out with normal water let them sit for 30 minutes till they dry then your finally going to see the difference between those samples
16,1,0,i don't know what is going on
17,1,3,in order to replicate this experiment i would need to know the shape of each material because the amount of surface area expand to the vinegar mass changes the results i would also need to know how much vinegar and what size containers to use in order to exactly replicate the experiment
18,1,0,the additional information i would need is to come up with an hypothesis to predict which sample will have the highest mass in acid rain after that i will have to come up with my dependent and independent variables so i can tell and see each one is different in mass i will organize the data to see if the information is accurate then i will write the conclusion to see if my hypothesis was correct and to see if my results were correct
19,1,0,in order to replicate this experiment i would need a scare in order to get the mass next i would need tape and markers to label the containers last i would need all 4 samples and graduated cylinders as a container to replicate this experiment
20,1,3,in order for the me to replicate their procedure i would need to know what four samples they used they should include that in their procedure also they should stay where you are to put the four containers during the 24 hour time period finally they should include what type of vinegar or what brand so that when i were to do this experiment i would in as close to what they actually did and therefore would be able to replicate the experiment
21,1,0,you would need to have four seperate but identical containers you would also need to pour in each of them vinegar to determine the mass of the items being placed in them and new items would be needed to be placed in each of the containers
22,1,2,inorder to replicate the experiment i would need to know the mass of the four different samples how much vinegar to pour into the containers what the samples were made up of and how much water to rinse them with after the 24 hours
23,1,0,the students data needed to include how much of the solution was poored they also needed to find out if the rocks weighed the same when they started
24,1,3,for this experiments duplication you would need to know exactly how much vinegar was used in each cup you would also have to know how big in size each container was additionally you would need to know the size of each sample to assure that you could place them in the cups evenly
25,1,1,some additional information that i would need is the amount of vinegar they poured
26,1,2,after reading the groups procedure i would need to know what type of vinegar they were using because it could of been any type what was the measure of containers because the containers could have been 3 different sizes and they wouldn't have valid results and they also should have told me what they were holding constant because i wouldn't know what variables to use or control
27,1,2,they needed to include what time they started and when they ended also the amount of vinegar they used also the size of each sample
28,1,0,1 get 4 different samples marble limestone wood plastic p 2 put each sample into 4 different containers p 3 pour vinegar in each of 4 separate but identical containers p 4 after 24 hrs remove the samples from the container and rinse each w distilled water p 5 allow samples to sit and dry for 30 min p 6 determine the data of each sample p 7 record your data
29,1,3,in order to replicate this experiment you would need to know what the samples were in this group's procedure they do not state what
30,1,2,in step three you would need to know how much of each sample to use also in step to you need to fill each container with the same amount step 4 you must rinse each stone as much also there is no control variable
31,1,2,i additional information that i would need to replicate the experiment is to add where your going to leave the samples for 24 hours another one that they would need to add in order for me to replicate the experiment is to clearly state the independent variable i would also need them to state how much vinegar to pour into each seperate but identical container
32,1,0,you will need a timer to determine the time that the vinegar dryed up
33,1,3,for this experiment you would actually need to know what each ''sample'' is the amount of vinegar that was used and the size of each ''sample''
34,1,3,to replicate the experiment i would need to know the samples that i will be using i would also need to know how much vinegar to use i would also need to know what type of containers to use
35,1,1,in order to replicate the experiment you would need to know how much vinegar to pour you need to know how much distilled water and you aso need to know how your going to weigh it
36,1,2,well i would need to know what the problem statement is i would need to know what type of cups we are using i would need to know the amount of vinegar we are using and i would need to know if the amount of vinegar in each cup will differ
37,1,2,in order to replicate the experiment i would need to know how much of each material is used before i go and find the mass i would need to know how much vinegar to pour on each material although they show the materials in the data take they should still list them in the procedure
38,1,0,i will need to know what's the purpose for this experiment know the difference in mass for each sample and i need to know an esimate of what they thought the starting and ending mass was
39,1,1,they should add how much vinegar to add to each sample for this lab to be more accurate they should have also added more trials as well as adding a constant variable such as a rock in just water
40,1,2,in order to replicate this experiment i would need to know first how to calculate the mass of the samples i would also need t o know what the four samples are as if is not stated in the procedure lastly to repeat this expirement i would need to know how much vinegar was placed into each container
41,1,1,additional information that would be needed to replicate the data would be what equipment is needed for the experiment what materials are going to be used and how much of each material will be used
42,1,3,in order to replicate this experiment you would need to know the amount of vinegar to pour in the container you also need to know what to pe of coniainer to pour the vinegar in also you need to know how much or how long to rinse the samples with distilled water
43,1,3,after reading the procedure i would first need to know what the for sample are that i am testing second i p would need to know how much vinegar put in each container next the procedure should tell me how thing to case rinse each sample in distiled water
44,1,3,determine what the different samples are then state how much vinegar you would be adding to each sample state how long you are rising the materials in water ex 5 minutes
45,1,2,in order to replicate the groups experiment i would need a lot of additional information first of all i would need to know what it is that they are using as the four samples rocks bark
46,1,0,i think the experiment should make the description more specific so as not to be confused and mistake cups for instance they could say each of the cork samples and place sample into cup labeled 'a'
47,1,2,one extra thing that needs to be included is what material or object the four samples are of another thing not included is the amount of vinegar needed to put in each containers the words a sample doesn't specify the exact amount of each rock are needed a repetition of this experiment is needed to verify the results
48,1,0,there could be more than 1 test for each sample there could also have a constant added to the expariement also there are to softy instanchings in the experiment like put on goggles before eyes where gloves when touching the vinegar
49,1,0,they should take more notes that way in case they mess up they can have a the information how to redo it
50,1,3,how much vinager should you pour with what label and when to sit it it sitand dry for 30 min label the container's reapetedly separate but identicle conatainer what containers should we use
51,1,1,in order to replicate this experiment i would need to know what the different mauterials were i would also need to know how many different materials there were and what the starting mass of each material was
52,1,0,in the experiment i would determine the mas of each sample pair the vinegar into a container then label i would wait 24 hours then pour out the vinegar and nose out with water let the samples dry and find the mass difference
53,1,2,in order to complete this experiment three aditional thing should be included the first is the amount of vinegar to pout in the cup the second is to list the far samples in the procedure the third is to record the information obtained
54,1,2,in order to replicate the group's i would need to know how much vinegar to pour in each of the four and how long containers how much the sample you need to add you need to rinse the samples
55,1,2,the procedure needs to state the four types of samples it is using marbles limestone wood plastic you need to determine how much vinegar you are pouring into each cup you need a set amount you could also do the time at different times so you could do it at is at 30 and at 45 minutes to see if there is a change at all in the mass over time
56,1,1,the information i would need to replicate the experiment is the four different samples the four identical containers the amount of time to let the samples sit and the product to rinse the samples with so i could let them sit for more
57,1,0,to repeat this experiment you would need to get the average that was used in the last procedure and let it sit for twenty eight hours instead of twenty four then rinse and record the changes in mass
58,1,2,we need to know the exact amount of vinegar going into each container to make sure that each sample fair results we also need to have a set starting mass so all of the samples have the same amount or the results will not be reliable we also need to know what kind and how big the containers are because results may be unreliable if the containers for the samples have all different volumes and shapes
59,1,3,some additional information that you would need is how many vinegar are you pouring in also in step 3 it says add a sample of each material we need to know how big the sample would have to be something that could effect the data could be what temperature are you putting this experiment in is it room temperature we need to know this
60,1,3,to replicate the experiment the procedure would require more detail one piece of information that is omitted is the amount of vinegar used in the experiment it is also important to know what temperature the experiment was kept at during the 24 hours finally the procedure needs to include details about the experiment for example if the whole sample must be submerged
61,1,1,you would need the amount of vinegar being poured into each of the caps that because the experiment only tell you to pour vinegar but when people read if they might not know how much vinegar to put
62,1,3,this group left same very important thing out of their procedure first of all they didn't tell us what sumples to use for the experiment they didn't tell us how much vinegar to use or what size containers we would need all of this information to replicate this lab
63,1,1,you would need the name of the four samples you are using to make a table to record data write down you need to record the starting mass ending mass and difference in mass
64,1,0,some additional information i would need is how they found the mass and what type of instrument was being used also when they say place a sample of the material how much of each type am i going to need
65,1,0,first of all you'll need to measure the container bxitsals and subtract it from weight of the samples so you don't accidently have extra weight calculate the time diffrence it took to prepare them use the same weight of each sample
66,1,0,to exactly replicate this experiment you would have to know how they measured the mass of the object because without that how would we figure out the different masses we have to know the starting mass the ending mass and the difference in mass
67,1,1,after reading the group' procedure i did not know how much vinegar they would be pouring into the containers this group also did not state the starting time at which they added the vinegar this group also did not state the reason the data they just said to determine it
68,1,2,i would need the amount of roch in each container i would need the amount of vinegar of r container i would need the same kind of vinegar in each container i would need all of this additional information to replicate this repricant i would also need the amount trials done
69,1,3,1 a list of materials and safety requirements p 2 the amount of vinegar to put in the containers p 3 the temperature of the room vineger p 4 a control group
70,1,1,additional information you need in order to replicate this experiment is a control group a control grap should have no effect on the sample and is needed so you can base your answers off reliable sources also in order to replicate this experiment we need to know the amount of vinegar we are putting on the sample we also would need to know
71,1,1,what you would need is the imformation on how much vinegar is added to every sample for example one sample can be in a different amount of vinegar so that can throw their ending masses off
72,1,2,we would need to know what samples they used for the experiment they just say samples we need to know how much vinegar they poured into each cup and we would need to know what units to measure the mass of the samples with they would have to specify that we should weigh them using grams
73,1,0,what the group of students did was determine the mass of different samples so what i would do what they did in the beginning or the investigation i would use the samples and do another experiment with the samples
74,1,1,on statement 2 they need to put the measurement of the containers p on statmen 4 how much water p on number 6 whats the measuremt were suppost to use for the mass
75,1,1,some additional information for their procedure would be to use the same amount of vinegar for each container also make sure the times are all on for each sample also measure the mass after it drys and find your difference from its starting mass
76,1,3,in order to replicate ta experiment a person would need to know a few more things they would need to know which substances to use how much of each one the person would need to know how much vinegar to put in the container they would also need to know what temperature to put ta containers in one might also want to know what type of container how to write down the findings
77,1,3,you would need to know how much vinegar was placed in the container what type of samples you were measuring and placing in the container and the temperature at which they were storing at to ensure equal experiment
78,1,0,additional pieces of information that shuld be included in the procedure would be with with what would you be using to determine the mass such as a scale have the controlled variable evident in the procedure one last thing that should be to move a table of the starting mass the endingmass and the difference in mass using grams
79,1,1,to replicate this experiment you would need to know how many ml of vinegar is poured into each container you would also need to know how much distilled water was supposed to be poured onto the samples also you may want to have the starting mass of each samples be the same
80,1,1,in order to replicate this experiment i would need to know 3 more things that weren't stated in the procedure i would need to know the amount of vinegar poured into the container the amount of time the samples were in the vinegar and the amount of distilled water used to rinse it off
81,1,3,the additional things that i would put are the procedures in what find at temperature they left the containers in i would also include the samples of what i am testing in the experiment lastly i would also put in my procedure how much amount of vinegar they are putting in
82,1,2,in order to replicate this experiment you must be able to know what the four materials are how to measure the mass how much vinegar should be poured into the containers and how much distilled water should they rinse it with they should start by saying d determine the mass put the tripple beam balance of the four diff samples name them then pour vinegar how much into containers then these step of step 4 wash how much distilled water and it would be better
83,1,2,in order to replicate this experiment you would need to know the size of the containers that you would place the sample in you would need to know the amount of vinegar putting in each container you would need to know what to use to measure out the mass for example tripple beam balance etc and you would also need to know the material to use to place each sample in the containers
84,1,0,you got to put more vinegar in wood so it make no different in mass in plastic out a little not more vinegar so it could do more reaction
85,1,1,another trials the amount of vinegar used and no changing of time to make sure it's accurate because if not youill change the experiment by changing the most important things
86,1,3,to replicate this experiment one must know information that is not given by the procedure first we must know how much vinegar to put into the containers enough to cover them next we need to know how the vinegar will affect the material will we completely submerge it or only partially finally we need to know which materials to use the data indicates them but the procedure does not
87,1,0,three additional pieces of information i would need to replicate the procedure are to gather materials use a control and when it's finish to record the data
88,1,1,in order to replicate the experiment you would need to know several more piecesof information one of them being the amount of each material wood plastic marble and limestone you would also need to know how much vinegar to add finally a constant for each material would alsohelp
